ID,Nama_Tanaman,Warna_Daun,Bercak_Daun,Daun_Layu,Batang_Busuk,Pertumbuhan_Terhambat,Penyakit
6,Pepaya,Kuning,Ya,Tidak,Ya,Ya,Bercak Daun
10,Kentang,Hijau,Tidak,Ya,Tidak,Tidak,Bercak Daun
35,Melon,Hijau,Ya,Tidak,Ya,Tidak,Bercak Daun
39,Singkong,Kuning,Ya,Ya,Tidak,Ya,Bercak Daun
46,Wortel,Hijau,Tidak,Ya,Ya,Tidak,Bercak Daun
92,Wortel,Hijau,Tidak,Ya,Tidak,Tidak,Bercak Daun
101,Tebu,Coklat,Ya,Tidak,Ya,Tidak,Bercak Daun
119,Singkong,Hijau,Tidak,Tidak,Ya,Ya,Bercak Daun
123,Mangga,Kuning,Tidak,Tidak,Tidak,Ya,Bercak Daun
128,Terong,Hijau,Tidak,Tidak,Ya,Ya,Bercak Daun
136,Kubis,Hijau,Ya,Tidak,Ya,Ya,Bercak Daun
140,Terong,Hijau,Ya,Ya,Ya,Tidak,Bercak Daun
150,Pepaya,Hijau,Tidak,Tidak,Tidak,Tidak,Bercak Daun
194,Tomat,Coklat,Ya,Ya,Ya,Ya,Bercak Daun
204,Tebu,Kuning,Tidak,Tidak,Tidak,Ya,Bercak Daun
254,Semangka,Kuning,Tidak,Tidak,Ya,Ya,Bercak Daun
274,Kopi,Coklat,Ya,Tidak,Tidak,Ya,Bercak Daun
293,Melon,Coklat,Ya,Tidak,Ya,Ya,Bercak Daun
