ID,Nama_Tanaman,Warna_Daun,Bercak_Daun,Daun_Layu,Batang_Busuk,Pertumbuhan_Terhambat,Penyakit
12,Tomat,Kuning,Ya,Tidak,Ya,Tidak,Busuk Akar
17,Kubis,Hijau,Tidak,Ya,Tidak,Ya,Busuk Akar
37,Semangka,Kuning,Tidak,Tidak,Tidak,Tidak,Busuk Akar
43,Jagung,Coklat,Ya,Ya,Tidak,Ya,Busuk Akar
45,Mangga,Coklat,Tidak,Tidak,Ya,Ya,Busuk Akar
54,Kopi,Coklat,Ya,Ya,Tidak,Tidak,Busuk Akar
67,Bayam,Kuning,Tidak,Tidak,Ya,Ya,Busuk Akar
94,Kacang Tanah,Hijau,Tidak,Ya,Ya,Tidak,Busuk Akar
105,Kacang Tanah,Kuning,Ya,Ya,Ya,Ya,Busuk Akar
154,Jagung,Hijau,Ya,Ya,Ya,Ya,Busuk Akar
185,Tebu,Kuning,Ya,Tidak,Tidak,Ya,Busuk Akar
214,Padi,Kuning,Tidak,Ya,Tidak,Tidak,Busuk Akar
217,Melon,Hijau,Ya,Ya,Tidak,Ya,Busuk Akar
236,Melon,Hijau,Tidak,Ya,Ya,Tidak,Busuk Akar
