ID,Nama_Tanaman,Warna_Daun,Bercak_Daun,Daun_Layu,Batang_Busuk,Pertumbuhan_Terhambat,Penyakit
20,Tebu,Coklat,Tidak,Tidak,Tidak,Ya,Jamur Upas
23,Tebu,Hijau,Tidak,Tidak,Tidak,Ya,Embun Tepung
42,Tebu,Coklat,Ya,Tidak,Tidak,Tidak,Busuk Hitam
49,Tebu,Hijau,Tidak,Tidak,Ya,Tidak,Hawar Daun Bakteri
61,Tebu,Coklat,Ya,Tidak,Ya,Ya,Hawar Daun Bakteri
80,Tebu,Hijau,Tidak,Ya,Ya,Tidak,Busuk Akar Phytophthora
101,Tebu,Coklat,Ya,Tidak,Ya,Tidak,Bercak Daun
142,Tebu,Coklat,Ya,Ya,Tidak,Ya,Embun Tepung
157,Tebu,Kuning,Tidak,Tidak,Tidak,Ya,Jamur Upas
185,Tebu,Kuning,Ya,Tidak,Tidak,Ya,Busuk Akar
201,Tebu,Coklat,Ya,Tidak,Ya,Tidak,Busuk Buah Botrytis
204,Tebu,Kuning,Tidak,Tidak,Tidak,Ya,Bercak Daun
206,Tebu,Hijau,Tidak,Tidak,Tidak,Ya,Antraknosa
209,Tebu,Hijau,Ya,Ya,Ya,Tidak,Karat Daun
221,Tebu,Coklat,Ya,Tidak,Ya,Tidak,Hawar Daun Bakteri
224,Tebu,Coklat,Tidak,Ya,Tidak,Tidak,Busuk Buah Botrytis
238,Tebu,Kuning,Ya,Ya,Ya,Ya,Busuk Akar Phytophthora
260,Tebu,Hijau,Ya,Tidak,Ya,Tidak,Busuk Lunak
261,Tebu,Kuning,Ya,Ya,Ya,Tidak,Embun Tepung
270,Tebu,Coklat,Ya,Tidak,Ya,Tidak,Busuk Lunak
